id,task_type,machine_type,site_zone,weather_condition,operator_experience_years,duration_minutes,recorded_date
52,excavation,dozer,Zone D,overcast,6.4,98,2026-07-21
53,material_loading,dozer,Zone C,rain,14.5,90,2026-06-25
54,material_loading,excavator,Zone B,rain,2.0,111,2026-06-22
55,excavation,grader,Zone B,rain,12.6,86,2026-06-13
56,trenching,excavator,Zone D,clear,12.6,96,2026-08-14
57,hauling,loader,Zone C,rain,7.9,64,2026-06-25
58,excavation,loader,Zone B,clear,2.6,97,2026-08-29
59,material_loading,excavator,Zone B,overcast,3.9,80,2026-07-09
60,dozing,loader,Zone B,wind,5.7,99,2026-08-07
61,grading,loader,Zone B,clear,5.3,93,2026-06-25
62,grading,grader,Zone A,clear,10.5,69,2026-07-24
63,excavation,grader,Zone A,clear,4.9,87,2026-09-14
64,excavation,grader,Zone A,clear,3.2,84,2026-06-11
65,dozing,loader,Zone B,clear,2.6,106,2026-06-13
66,dozing,dozer,Zone D,overcast,8.4,42,2026-07-28
67,material_loading,grader,Zone A,clear,11.2,115,2026-08-27
68,hauling,dozer,Zone A,clear,3.2,48,2026-08-31
69,dozing,excavator,Zone D,clear,8.4,50,2026-08-24
70,material_loading,loader,Zone D,overcast,1.7,64,2026-08-24
71,material_loading,dozer,Zone B,clear,11.8,97,2026-09-13
72,trenching,dozer,Zone C,overcast,8.2,98,2026-07-25
73,hauling,loader,Zone C,extreme_heat,9.3,58,2026-09-17
74,excavation,loader,Zone A,extreme_heat,2.1,121,2026-06-28
75,dozing,excavator,Zone C,wind,10.6,54,2026-07-18
76,hauling,grader,Zone B,wind,17.9,97,2026-07-29
77,hauling,grader,Zone D,wind,6.6,107,2026-06-05
78,grading,loader,Zone D,clear,5.5,93,2026-08-02
79,dozing,excavator,Zone C,rain,4.9,73,2026-06-04
80,dozing,excavator,Zone D,extreme_heat,7.7,67,2026-08-29
81,dozing,loader,Zone D,extreme_heat,11.4,108,2026-07-14
82,grading,loader,Zone D,clear,2.6,82,2026-07-04
83,dozing,dozer,Zone C,overcast,10.1,44,2026-06-07
84,trenching,grader,Zone B,wind,9.2,77,2026-06-23
85,material_loading,loader,Zone D,clear,17.7,54,2026-08-04
86,grading,dozer,Zone C,overcast,14.0,126,2026-06-05
87,excavation,loader,Zone C,wind,14.9,92,2026-07-09
88,dozing,grader,Zone D,overcast,9.9,124,2026-08-09
89,material_loading,grader,Zone C,rain,15.7,141,2026-08-04
90,grading,grader,Zone D,clear,12.8,67,2026-06-11
91,excavation,grader,Zone B,wind,9.2,92,2026-07-09
92,material_loading,excavator,Zone D,overcast,2.2,84,2026-05-29
93,excavation,excavator,Zone D,overcast,15.7,114,2026-06-14
94,material_loading,loader,Zone D,extreme_heat,11.9,65,2026-06-05
95,material_loading,grader,Zone D,wind,15.8,120,2026-07-04
96,hauling,loader,Zone A,wind,8.1,56,2026-09-10
97,hauling,excavator,Zone C,clear,16.3,114,2026-08-16
98,material_loading,loader,Zone B,clear,9.8,61,2026-07-12
99,hauling,dozer,Zone A,clear,11.2,49,2026-07-21
100,dozing,dozer,Zone C,clear,8.5,50,2026-06-29
101,trenching,grader,Zone B,wind,1.8,104,2026-08-15
102,hauling,grader,Zone D,extreme_heat,15.3,102,2026-08-28
103,excavation,grader,Zone D,clear,10.5,61,2026-08-16
104,trenching,grader,Zone A,clear,16.4,60,2026-06-19
105,excavation,loader,Zone B,overcast,11.1,89,2026-07-05
106,material_loading,dozer,Zone A,extreme_heat,5.9,117,2026-07-28
107,trenching,loader,Zone A,overcast,16.4,72,2026-08-28
108,grading,loader,Zone C,rain,15.0,95,2026-08-21
109,excavation,loader,Zone C,overcast,14.6,88,2026-06-18
110,grading,grader,Zone C,wind,2.1,82,2026-08-03
111,trenching,loader,Zone D,rain,7.0,99,2026-08-05
112,hauling,loader,Zone B,clear,8.8,49,2026-07-05
113,dozing,loader,Zone B,wind,11.8,92,2026-06-25
114,material_loading,grader,Zone A,clear,17.1,103,2026-08-15
115,excavation,excavator,Zone B,clear,7.3,104,2026-06-25
116,dozing,grader,Zone B,rain,16.0,145,2026-07-01
117,trenching,grader,Zone C,extreme_heat,1.1,89,2026-08-23
118,material_loading,excavator,Zone C,wind,10.0,82,2026-07-02
119,material_loading,excavator,Zone B,clear,17.4,78,2026-09-11
120,hauling,dozer,Zone A,extreme_heat,1.4,67,2026-08-11
121,grading,dozer,Zone B,overcast,1.7,136,2026-08-26
122,grading,loader,Zone A,overcast,5.4,81,2026-09-04
123,grading,loader,Zone A,overcast,12.1,80,2026-06-13
124,grading,loader,Zone C,clear,1.4,89,2026-06-20
125,excavation,excavator,Zone D,overcast,8.3,113,2026-07-27
126,dozing,dozer,Zone A,wind,13.2,49,2026-05-29
127,hauling,loader,Zone A,rain,1.6,64,2026-06-27
128,trenching,grader,Zone D,overcast,1.8,84,2026-09-12
129,material_loading,dozer,Zone C,clear,11.4,77,2026-08-05
130,dozing,loader,Zone D,rain,2.2,118,2026-06-25
131,trenching,dozer,Zone B,clear,7.7,109,2026-06-21
132,trenching,loader,Zone C,clear,7.1,76,2026-09-03
133,hauling,grader,Zone A,clear,2.1,127,2026-06-11
134,grading,excavator,Zone C,rain,12.2,84,2026-08-01
135,material_loading,grader,Zone A,overcast,17.4,106,2026-07-11
136,dozing,dozer,Zone D,clear,4.4,46,2026-09-09
137,material_loading,loader,Zone C,clear,10.5,61,2026-06-16
138,dozing,excavator,Zone C,extreme_heat,1.0,57,2026-08-19
139,hauling,loader,Zone C,wind,0.6,66,2026-08-02
140,trenching,dozer,Zone A,overcast,2.1,107,2026-07-17
141,grading,grader,Zone C,clear,3.3,75,2026-07-12
142,dozing,excavator,Zone B,overcast,3.3,62,2026-07-05
143,trenching,excavator,Zone D,clear,9.0,102,2026-06-18
144,dozing,excavator,Zone A,clear,5.5,56,2026-06-28
145,dozing,grader,Zone C,rain,1.3,139,2026-09-22
146,grading,loader,Zone B,wind,13.9,84,2026-08-16
147,material_loading,excavator,Zone D,clear,3.6,72,2026-07-20
148,dozing,loader,Zone A,clear,8.1,106,2026-07-26
149,trenching,loader,Zone D,rain,12.9,88,2026-09-20
150,material_loading,dozer,Zone D,overcast,15.1,85,2026-05-28
